Country Name,Country Code,Series Name,Series Code,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1908.699007,2446.909499,2741.721365,3057.77257,3743.055299,4498.504868,4213.650076,4149.144699,4465.709143,4222.347099,4420.23462,4602.230514,3981.726623,4168.375445,4614.047969,5365.488802,5460.430509,5370.7775,6413.282808,6846.426694,8575.171346,10011.62799
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.16388038,21.55175222,22.44278184,24.50859193,27.13081991,24.58266192,24.64462446,27.60992967,29.0544738,29.11077094,28.86940201,28.06834349,27.06932246,28.66979317,31.00179579,31.11401354,30.93612249,22.54076327,31.13302234,37.19708182,38.66508083,36.1095622
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,44.65933472,43.4861861,46.67351082,47.69331702,52.78108098,50.66588536,48.6767331,47.9226033,51.64452473,47.85758738,46.88121655,46.95285882,44.2101252,45.34465728,45.785586,44.58006483,44.44600645,36.97994862,44.45729939,47.50097528,43.82860173,42.96119757
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.484002612,2.280019169,2.366581957,2.370728319,2.932682482,3.320870904,2.266922095,3.626046956,3.429123247,2.031592684,1.937620802,1.625865044,1.896174026,1.275431684,1.986661332,2.028059631,1.41109079,1.620886617,2.041471631,6.725202715,4.759764219,2.214489533
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.30978024,-0.427259684,-0.505047977,-0.508157313,-0.203974649,-0.030500913,-0.045140512,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.341639042,0.337447882,0.373770744,0.366779268,0.110105053,0.088612519,0.196371928,0.106261313,0.183348969,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,2283.772993,2816.99385,3233.133396,3660.661047,4167.451699,5180.918815,4235.429905,4912.785855,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4961.552577,5364.02795,5631.179991
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,35.66906353,38.39295946,44.3712829,45.76413427,44.72015567,45.64718181,32.58600627,34.98822961,35.98808641,34.382792,30.79936493,27.61948637,20.52814168,18.48668797,20.33367952,23.42310574,20.40794195,15.53520111,23.44436729,30.80897855,23.61953637,..
Algeria,DZA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,22.10007178,22.96503811,22.46917732,20.1511577,22.82531773,25.38131044,31.69874845,28.50298638,26.23200355,26.37484733,28.35164323,29.3040556,32.67648091,31.27424482,29.48713665,29.01306194,26.09890066,24.85455545,23.39269197,20.39339719,20.06337782,..
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.268953958,3.961800303,1.382446567,2.311499185,3.678995747,4.858590628,5.737060361,3.911061955,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941,7.226063074,9.265515516,9.322173759,4.046114553
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.754409075,-1.359188437,-0.91366601,-1.126413465,-1.150585532,-1.095846295,-1.196913481,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090786576,-1.099741936,-0.919614315,-0.842107713,-1.055853844,-0.847820401,-0.992457151,-0.650652349,-0.57788527,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,992.6989793,1266.210864,1916.468422,2617.05196,3141.04598,4103.0669,3136.64547,3597.342932,4615.910598,5086.027401,5057.747878,5005.999741,3213.902611,1807.952941,2437.259712,2538.591391,2189.855714,1449.922867,1925.874661,2929.694455,2309.53413,2122.08369
Angola,AGO,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,54.32133881,58.38035832,65.52626777,63.4678635,67.90578337,72.4750288,58.7573003,61.54311589,60.66994752,55.94013063,50.74708579,44.69502946,29.75459795,28.12448545,29.004102,40.83628983,40.79075505,38.31454074,47.74527597,44.3916421,40.83246624,37.88274281
Angola,AGO,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,49.57989074,45.19958873,41.06469436,31.15729583,40.15428452,48.88967965,63.68884384,42.58051942,39.31255882,35.85996671,36.06484697,34.63789332,33.13391814,25.24567262,23.25272022,25.5417235,17.03878307,27.62748819,26.71922262,25.29942841,26.16932704,24.41317596
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,98.22414366,43.54210675,22.95351385,13.30521018,12.25149745,12.47582913,13.73028393,14.46965649,13.48246792,10.27790492,8.777814293,7.280387304,9.355972155,30.69441508,29.8444799,19.62893797,17.08095414,22.27153925,25.75429488,21.35529013,13.64410178,28.24049489
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.00738585,-1.063120604,-0.885178328,-0.539453447,-0.666658759,-0.361787379,-0.347591847,-0.226182342,-0.36923781,-0.389322549,-0.391233474,-0.333232045,-0.505385816,-0.321580082,-0.387895495,-0.347208589,-0.368411601,-0.599917889,-0.71048075,-0.630108535,-0.341505051,..
